sample,spotsize,fluence,rep_rate,sig_bg,N,9.979,10B,10.035,10.433,11B,11/10B,11/10.035,11/9.979,11/10B2se,11/10.0352se,11/9.9792se,11/10Bc,[B],d11B,r2se,B/Ca,B/Ca_2sd,Dd11B,cald11B
wb13_flat - 1,75,6.237,6,38.09452632250401,53,6.600326106710973e-05,0.0042273837460075694,5.01592078839238e-05,0.0,0.019366898601473434,4.581045048964949,399.2022165088938,299.77700331116904,0.003624858753334928,21.31815874233252,11.302447070267158,4.038720400382559,14.744458883393296,-1.2240364860240938,0.7912733261931001,100.30749735669635,7.143765388605982,-14.104133827457085,12.880097341432991
gan_bulk_f6 - 1,75,6.172,6,41.11867043320287,53,7.63506113666823e-05,0.0044913740866597005,5.6831461589156294e-05,0.0,0.020572756435699967,4.58045637249431,369.05552559771644,273.4069632212747,0.003040122181201419,14.370647889138056,9.218182411744095,4.038201414071404,15.662505785059736,-1.352381853265916,0.6637159998853794,92.64222548031181,5.662993120731333,-15.127576156280124,13.775194303014208
wb13_flat - 2,75,6.133,6,27.731145193010526,53,6.653191137346814e-05,0.0030382151924888672,4.833372406462458e-05,0.0,0.013869542141602915,4.562397464299268,287.0909922245113,207.7186463752442,0.006194490256639449,15.495201070529838,10.506505232775709,4.022280400382087,10.559196805150645,-5.2896501489767545,1.3577270075900438,71.99694381615114,5.1584356948468155,-18.97820716052188,13.688557011545125
gan_bulk_f6 - 2,75,6.246,6,30.15145573356705,53,6.910316647659495e-05,0.003296821749202466,4.735204072469981e-05,0.0,0.015056007749846787,4.566530187007105,331.21289790570233,222.0426214628045,0.004781652428544449,20.470292813658453,9.59107987850626,4.025923872849802,11.462479965624313,-4.388619039189079,1.0471084680770137,82.90055243135421,6.442857038601818,-16.67188232000982,12.283263280820742
cuisemc_f5 - 1,75,6.143,6,49.406421370583814,53,7.102041102493455e-05,0.005363705642977705,4.963991226511024e-05,0.0,0.024661214557401317,4.597210504737555,512.0953124874546,350.9552803345022,0.0031365636025459387,31.71089588741101,15.960889441485618,4.052972117035085,18.77514162378482,2.3004144836462626,0.6822753927220911,128.04995900549554,9.963976051414694,-11.329561514023526,13.629975997669789
wb13_flat - 3,75,6.327,6,35.80434501802317,53,6.642891970969512e-05,0.0038870182795897423,4.9352998404047416e-05,0.0,0.01777864476518215,4.573930376066099,370.19081466047,270.4592849576422,0.0032075668835995306,18.81464896658242,9.500611331190875,4.032447994354785,13.535285237809854,-2.7752031311197856,0.7012714711145785,92.47687591377239,6.409276222306504,-15.086057975561253,12.310854844441469
wb13_flat - 4,75,6.295,6,36.460248960673674,53,6.443630447755774e-05,0.003970464064295681,4.7078359660174404e-05,0.0,0.018194676823378747,4.582438046424128,403.02564737072385,289.12655628121325,0.003163896226209479,23.163962676857224,11.956182920830553,4.039948488558059,13.852019873668716,-0.9203301560070098,0.6904394983972346,100.5818157257814,7.475420022419486,-13.985123320060477,13.064793164053468
cuisege_f10 - 1,75,6.087,6,45.68326798508685,53,6.162248679937585e-05,0.004951428340772382,4.426642276696229e-05,0.0,0.022793788472437865,4.604848870916203,575.0606137404369,408.02481637335995,0.003864991446359379,70.83250702032569,41.674312552446516,4.059706219184608,17.353427817454214,3.9657586263488476,0.8393307912384065,143.37719962045966,18.90849261344206,-10.24959575794779,14.215354384296637
wb13_flat - 5,75,6.261,6,27.906216454375873,53,5.980428182477075e-05,0.003023480228233327,4.3522779555000096e-05,0.0,0.01379993416938998,4.564190953560173,337.4553977167853,237.80056661285002,0.004329852016553381,24.89684670852643,10.967640908343753,4.023861568344519,10.506202678142001,-4.898627151938784,0.9486570699186015,84.05488123763992,7.35830968946507,-16.3936258111444,11.494998659205617
cuisemc_f5 - 2,75,6.272,6,33.93472204652641,53,6.379984993724477e-05,0.003666506419012095,4.7686378874966635e-05,0.0,0.016769561128739736,4.5729852164476865,409.07059094080637,279.8091402768179,0.005815404851449266,66.24521568318585,20.919296255865618,4.031614726968915,12.767046993081387,-2.981270239926892,1.271686781433922,101.79473424272386,17.16838558980882,-13.801440092421132,10.820169852494239
wb13_flat - 6,75,6.147,6,30.34301916616803,53,7.272886589540751e-05,0.0032840012303037014,5.379722292992019e-05,0.0,0.014966242130759932,4.556656863225275,284.9449892214211,207.6202735463194,0.004265130004056842,13.52378830796874,8.00072497210572,4.01721939739692,11.394139365149037,-6.541236699107444,0.9360217659746964,70.83843841908075,4.737648660537686,-19.10832452635628,12.567087827248837
wb13_flat - 7,75,6.252,6,35.06621991278494,53,6.852402425680984e-05,0.0037576434721941707,5.1143318712325765e-05,0.0,0.01719513863223188,4.575965393071946,344.5833681688944,254.76794311232183,0.0034377520954600063,19.197890246118163,11.565862631410614,4.034242096925004,13.091048792804738,-2.331521384038693,0.7512626954445055,85.58222442906884,6.244752650337921,-16.08805656675368,13.756535182714986
gan_bulk_f7 - 1,75,6.082,6,36.275887999156055,53,6.895645490015042e-05,0.003948447722439311,4.876176888568724e-05,0.0,0.018064651913888372,4.573564302498099,405.6437290489282,287.41718106573916,0.005588936471439367,42.62707847701473,31.449267218456583,4.032057506361105,13.885863919519585,-2.8717708514529594,1.222008941338524,100.36060389116577,11.558123764038308,-13.904907094340356,11.033136242887396
wb13_flat - 8,75,6.301,6,33.36137885850611,53,6.671900001388285e-05,0.0035559106932407094,5.3026790287804365e-05,0.0,0.01626071331661309,4.573339852514066,314.44757758388556,249.81487576387866,0.0033783424565208826,13.5106235346468,10.391328654835593,4.0318596310972925,12.499219659760813,-2.92070542420797,0.7387035657679656,77.72309126177107,4.956289984742199,-17.47305992361984,14.55235449941187
wb13_flat - 9,75,6.329,6,34.66747115325181,53,6.35300816680918e-05,0.0036736354347833445,4.8089605076422404e-05,0.0,0.016820123487182696,4.578490683963019,361.8977835059252,273.1310770215713,0.004470912339060992,20.87334297402777,16.166724705374115,4.036400607726048,12.929224817942284,-1.7977214446164291,0.9765035352635226,89.36582050633565,6.655817670760042,-15.395250955069672,13.597529510453242
wb13_flat - 10,75,6.106,6,31.197341447477424,53,6.3396491837401e-05,0.0033096242857044303,4.8319836580010625e-05,0.0,0.015117883904882798,4.568422354670853,326.9502808709853,244.24092060367875,0.004240038933275205,20.422544300460345,10.901236697702727,4.027524361539497,11.620754147656978,-3.992818024344924,0.9281188568171896,80.65872438215548,6.311026084192418,-16.867903445305064,12.87508542096014
wb13_flat - 11,75,6.289,6,34.68001681085716,53,7.097901997991719e-05,0.0036839528489649035,5.266961295818771e-05,0.0,0.016816440291938597,4.56478377397035,328.16046754993977,241.82773225033856,0.0037217788330912646,15.68744810860797,9.478552086278675,4.02431658623437,12.92639363424761,-4.786101181755598,0.8153242338254593,80.87986261395733,5.428946090155941,-16.811741395149287,12.02564021339369
wb13_flat - 12,75,6.147,6,40.358252714696036,53,6.766970144229218e-05,0.00431819168429153,5.058369031843246e-05,0.0,0.01977431857669389,4.579476825338698,399.7840002201113,296.21911420260824,0.0024098854665757672,16.454787549802784,10.884465080137431,4.037269990656549,15.200043608152543,-1.5827229579690183,0.5262359781452834,98.3444282773123,6.152945849824484,-14.085880116360528,12.50315715839151
