sample,spotsize,fluence,rep_rate,sig_bg,N,9.979,10B,10.035,10.433,11B,11/10B,11/10.035,11/9.979,11/10B2se,11/10.0352se,11/9.9792se,11/10Bc,[B],d11B,r2se,B/Ca,B/Ca_2sd,Dd11B,cald11B
nist612 - 1,75,6.26,6,85.92164722885731,53,2.593070089014633e-05,0.009683358935052564,2.34802055325781e-05,0.0,0.04438118777245571,4.583295053135382,2046.581046388832,1972.304013215561,0.0015805670010946183,173.81671254910287,238.50538862392528,4.040704038973087,0.0,-0.7334824619498193,0.3448538622913595,0.0,0.0,-3.8321194090642763,3.098636947114457
nist612 - 2,75,6.228,6,85.39582513533117,53,2.5122028572856332e-05,0.009638304166538816,2.434327422662606e-05,0.0,0.0441686090385249,4.5827363608405625,1832.8539104938677,2226.3020715110624,0.0015479241211355836,358.01897676035895,490.1536754603161,4.040211487176607,0.0,-0.8552905710388359,0.33777289358440515,0.0,0.0,-4.130501975183907,3.275211404145071
jct_pp - 1,75,6.306,6,85.77643176805917,53,8.025940037728324e-05,0.009619233667986163,6.201254132776746e-05,0.0,0.04448886548776224,4.624625487784429,759.3977736510948,584.5633471885039,0.0022850354147104087,49.0227194635951,36.06515028036522,4.077141591494317,33.87038169876201,8.2775279620535,0.49410172147910003,0.0,0.0,-8.105871510275502,16.383399472329003
uwc1 - 1,75,6.194,6,41.32381773348556,53,6.545881430883536e-05,0.004511952478355302,4.635004950687036e-05,0.0,0.020594117025125074,4.561950520568577,458.765581340655,322.46066988282877,0.004639737478359253,46.945607441047,37.69761224072358,4.021886367853773,15.678768085956978,-5.387094433083606,1.0170512497757167,114.93782172752891,12.948661955623104,-12.472462418350341,7.0853679852667355
macs3_pp - 1,75,6.316,6,19.729015119979277,53,6.813715904366507e-05,0.002168355445935783,5.2859629227361773e-05,0.0,0.009672062404221938,4.460416004733791,188.83799949596104,144.6893639753668,0.005958969618593503,10.98926951561668,5.885250196707234,3.9323719631574967,7.363560339279865,-27.524015768473408,1.3359672309195632,46.85547628286089,3.508500581435816,-27.911412348755107,0.387396580281699
nist612 - 3,75,6.128,6,91.42057330233959,53,3.244241378553762e-05,0.009993569219272271,2.6629878445326258e-05,0.0,0.045831442869430736,4.585716208287833,1847.7806069982073,1522.08592951612,0.001741001053610796,148.47572622495974,129.63998107303715,4.042770635053606,0.0,-0.22241304221004565,0.37965739145921396,458.0400783788691,42.66668880080682,-4.107453725242773,3.8850406830327273
nist612 - 4,75,6.171,6,86.71758944307285,53,2.3405779636151835e-05,0.009602747025585966,1.9843834927362775e-05,0.0,0.04405777594794939,4.588026769820594,3078.243546357397,2102.298050376503,0.0016775137992244187,729.1164958924737,200.74087748066728,4.0448076277262555,33.86615387477035,0.2813354517692268,0.3656285988257245,762.3221953625765,184.10288945817527,-2.968507777649238,3.249843229418465
macs3_np - 1,75,6.266,6,22.167227593254527,53,7.422676120432776e-05,0.0024313087961166727,5.433340268688451e-05,0.0,0.010869892221373023,4.469596240044623,201.56340202681835,147.36842296324605,0.004800580561605967,8.232584303184927,5.580347130082265,3.940399189365675,8.355424999348424,-25.538881915271205,1.074052398423809,49.63073747917172,3.0948803537704173,-26.271078645076948,0.732196729805743
jcp_pp - 1,75,6.159,6,217.5531016482634,53,8.578604084930053e-05,0.02236218926111475,6.422859455354608e-05,0.0,0.10457429346228511,4.67622299461154,1649.242314783182,1230.390662859858,0.0009983407858731887,61.35450421337655,34.25057166625701,4.122561481543683,80.38374696723595,19.509871365290365,0.21349298077178677,404.5452407864406,24.287190254499542,-4.447625091776359,23.957496457066725
macs3_np - 2,75,6.226,6,22.63143700852261,53,7.598323706536207e-05,0.0024521345523349967,5.685348392793543e-05,0.0,0.010966586231676062,4.471845297363909,195.1142468880656,145.84791110522377,0.004645625568893304,7.330020060551279,5.066618657297392,3.942381959880459,8.429751361976443,-25.04854256641631,1.0388609757211045,47.814375646560514,2.8814563720573187,-27.076028515231606,2.027485948815297
nist612 - 5,75,6.199,6,89.72513185106881,53,3.208990332306805e-05,0.009457770619846848,2.8169905044187818e-05,0.0,0.043330148772905586,4.581291384793098,1763.4439780008545,1443.3242638895872,0.001501678456686901,214.62429596635616,110.6916595218924,4.039429437135749,0.0,-1.0486916252440137,0.3277849694676691,430.1019864093867,56.132908117711416,-4.242728366256521,3.194036741012507
nist612 - 6,75,6.242,6,88.04360961788743,53,2.2265991788927512e-05,0.009486267282872244,1.786206975887889e-05,0.0,0.04349569740655879,4.585048159015056,1242.3599059906123,1531.6250428835642,0.0015730831040864175,4734.812813567487,4331.237067461035,4.042741870924881,0.0,-0.22952641415319164,0.3430897668966561,302.72370678582615,1153.8118933080593,-5.478506002352651,5.248979588199459
