sample,spotsize,fluence,rep_rate,sig_bg,N,9.979,10B,10.035,10.433,11B,11/10B,11/10.035,11/9.979,11/10B2se,11/10.0352se,11/9.9792se,11/10Bc,[B],d11B,r2se,B/Ca,B/Ca_2sd,Dd11B,cald11B
blue - 1,75,6.375,6,46.99554657456944,53,6.366493480984136e-05,0.004953311210906764,4.885672478056421e-05,0.0,0.022468692231013256,4.536152952498777,480.5549672428156,366.4150946012121,0.002703962300454185,29.667379840891467,21.853838419093968,3.999629848582821,17.561123637769025,-10.891133899942007,0.5960915182466863,127.45955238721783,9.898960535908554,-11.975286769834453,1.0841528698924456
blue - 2,75,6.177,6,57.230605357000414,50,6.475907541714869e-05,0.005840568878978095,4.744845019222839e-05,0.0,0.02652729722293588,4.5418612263017994,581.6143945669866,418.51381300763444,0.002727977376364065,38.41035581130235,18.51728148079295,4.005973285377962,21.37497515122297,-9.32240133889206,0.6006298388348854,169.50595865578822,13.751664777993495,-10.150440672574884,0.828039333682824
blue - 3,75,6.196,6,73.12063596624289,53,6.559335684553952e-05,0.007312039761476042,4.655889452474233e-05,0.0,0.03328188727915548,4.549441125360903,708.7486809997915,507.30850374803657,0.004277064505722197,109.96228681708997,89.92552221267835,4.01180752012784,26.474804279276302,-7.879594495139308,0.9401296528225546,201.59720688480613,32.688491504222554,-8.585286774969328,0.7056922798300196
blue - 4,75,6.382,6,79.5337694246712,53,6.130135166946026e-05,0.007679995042915142,4.565486734850467e-05,0.0,0.03497051932777632,4.551505156014662,787.7252384479806,583.4302728418962,0.003472026455061669,101.41157341160915,79.26679594577755,4.013840006908961,28.754713853987358,-7.3769603085906965,0.7628303903981086,217.5471712082866,29.82401504185199,-7.864258364372379,0.4872980557816824
blue - 5,75,6.165,6,54.97018037701585,53,6.338129404545997e-05,0.005378895953681779,4.6613768040867303e-05,0.0,0.024425244451375942,4.541120984514106,543.0779919976271,398.04381242513153,0.002632098874988109,31.492954360367968,22.66767360790625,4.004682508108271,20.083799969626238,-9.641610688243318,0.5796143471984022,148.0363906670469,11.061344507055011,-10.76730273319202,1.1256920449487016
blue - 6,75,6.347,6,56.62980550898416,53,6.289031351155762e-05,0.0055884641293329805,4.3634211358045556e-05,0.0,0.025397082979909964,4.544572607872091,645.00922487429,424.1778166724441,0.002555842844613314,63.97945388390728,23.9144011590229,4.008488747114834,20.881626887132374,-8.700327396935382,0.562394545129743,169.40373618644998,18.60304035009371,-9.293951295120026,0.593623898184644
blue - 7,75,6.247,6,57.47511217595322,53,6.288641068271977e-05,0.005433877859382456,4.527198185766093e-05,0.0,0.024661903749907645,4.538644146654272,565.077052840409,400.9687192242207,0.002709627181225319,45.76069010422497,27.180517891269446,4.003806191372154,20.597915156210853,-9.858323905720834,0.5970124763411471,139.330665054393,13.054256764145487,-10.40499822585676,0.5466743201359261
blue - 8,75,6.241,6,181.23002008846444,53,6.186802307814745e-05,0.016895612581265432,4.7574694220882714e-05,0.0,0.07719806329381804,4.559898595907143,1618.158502144645,1232.1629730792645,0.010724066665159305,641.6575818390819,514.1434536364179,4.022555996988789,64.47674007955747,-5.221495080263927,2.3518213047072964,405.59593620926364,161.96481239521486,-4.508328250269517,-0.7131668299944103
blue - 9,75,6.361,6,61.07911815084062,54,6.282995643468174e-05,0.005683208818197676,4.5896403901782465e-05,0.0,0.025819303976791212,4.543319252734811,579.1705823852042,415.3868128970986,0.0024400034962664572,28.274775691334806,12.557585240975348,4.008108302214951,21.702053904400994,-8.794411459156827,0.5370530575850946,153.58587667458315,10.420855808166538,-10.187155549362274,1.392744090205447
blue - 10,75,6.237,6,61.011846940858284,53,5.994379926375602e-05,0.005714082280008534,4.136030912601034e-05,0.0,0.025949270827170128,4.541274909736133,672.3250296350727,442.55195324626436,0.00280380791374079,56.24187573471932,23.44705278200223,4.006608985081158,21.807617230577037,-9.165192737993433,0.6174054576017074,191.14107066081993,18.35165908981452,-8.974031486086412,-0.1911612519070207
blue - 11,75,6.221,6,54.529750436644534,53,6.0837332384122904e-05,0.0050032718347688375,4.394824843520734e-05,0.0,0.02268700510029657,4.534215550646335,550.4796842447882,384.75258689596296,0.00289373861034482,45.71513108605837,22.141052354331766,4.001321749099948,19.132144962445093,-10.472726730927917,0.638200495327649,171.68236420486448,16.39271774713247,-10.642217234065596,0.16949050313767877
blue - 12,75,6.07,6,65.39003176520205,53,5.83434189578089e-05,0.005750771608906043,4.401782980886311e-05,0.0,0.02612895776075155,4.543038432886699,621.8813466656233,468.4626490633763,0.0029629777272490087,53.4845981975456,42.851061961618896,4.010432649217672,22.371989678270793,-8.219600210286004,0.6522017744336578,181.5944115775117,17.808393687125374,-9.58647021998187,1.366870009695866
blue - 13,75,6.104,6,69.02409844703985,53,6.020431722375796e-05,0.0059689878297826005,4.40584358044043e-05,0.0,0.02705499066119104,4.532356870591657,624.523910566614,449.8049552510983,0.003425090774742023,65.37195239196255,44.382416942276926,4.002197325532483,23.528505921809632,-10.256196590601174,0.7556975040879581,217.34385175281804,24.949294488495926,-9.551966749885965,-0.7042298407152092
blue - 14,75,6.029,6,59.924628503499946,53,5.714259028516273e-05,0.0051138365950079145,4.601479450721968e-05,0.0,0.02319350991777297,4.5350655517993586,527.6451405240151,416.9928656385508,0.002947268248588389,45.31699142423372,25.390706644918655,4.004636334014011,20.12012269745688,-9.653029546424108,0.6498843765155751,181.07681169489322,17.73871596934329,-11.039234209377621,1.3862046629535136
blue - 15,75,6.287,6,57.50377309640874,51,6.0802540747847695e-05,0.004926520001989322,4.3713438650604656e-05,0.0,0.022332189075066174,4.533061217550374,540.9655027202995,377.4874957336556,0.002778609686468879,38.82046448506832,17.403104077856543,4.00123587825542,19.337741499386844,-10.493962599465334,0.6129654008887211,150.99517259821238,12.962773678783647,-10.80362181040021,0.3096592109348766
blue - 16,75,6.014,6,65.51371020487895,53,5.916060931757865e-05,0.005468486378091683,4.5447085084889296e-05,0.0,0.02480798493666269,4.536031052717171,564.5807466066764,427.1996957478832,0.003029695999073194,37.416918948958056,21.475274142070447,4.00560090705624,21.861431619302746,-9.41449053551835,0.6679178259280979,147.25666073527128,11.974558345071685,-10.412864998317803,0.9983744627994522
blue - 17,75,6.163,6,62.899781290783196,53,5.8861781390692816e-05,0.00523769513298877,4.655358432120595e-05,0.0,0.023766815425537085,4.537499996468722,530.7468640074181,412.7450457320904,0.0031344272476830073,32.2094325578015,20.98497606810455,4.007033527130752,21.196231006544142,-9.060203446188076,0.690782865040739,107.91537013456977,8.291416272650864,-10.983329257267759,1.9231258110796823
blue - 18,75,6.23,6,62.54071136236215,53,5.956057238643293e-05,0.005204603769024064,4.250468216645105e-05,0.0,0.02361482137249608,4.537542741539687,576.3265779435287,407.3731905243092,0.0031347303538201816,33.59068034508312,18.434221143307713,4.007381469641256,21.177434895229727,-8.97415722814754,0.6908431572716159,114.63870124341832,8.592070154870479,-10.230269187660527,1.256111959512987
blue - 19,75,6.271,6,59.58293846994388,53,5.826546274371468e-05,0.004890928651837769,4.2693629733593646e-05,0.0,0.022198722470862988,4.538677279207133,538.8032786150001,391.8839787058505,0.0028315599380853746,27.738992847904274,18.111802994296703,4.009536427297593,19.79081143944149,-8.441235981770824,0.6238733807000314,153.37782499377207,10.704400725122495,-10.841086679882508,2.3998506981116847
blue - 20,75,6.241,6,140.46257259707244,53,5.70781988422937e-05,0.011632212145673268,4.155755616338413e-05,0.0,0.05300348190197873,4.545919641108826,1343.4286192372488,919.2394078657136,0.005534055606192557,431.7840726532835,274.47921014151325,4.014486193742126,47.20537649131441,-7.217158239389843,1.2173676710314016,370.5722488014374,120.37679990466147,-5.165007024271547,-2.052151215118296
