sample,spotsize,fluence,rep_rate,sig_bg,N,9.979,10B,10.035,10.433,11B,11/10B,11/10.035,11/9.979,11/10B2se,11/10.0352se,11/9.9792se,11/10Bc,[B],d11B,r2se,B/Ca,B/Ca_2sd,Dd11B,cald11B
jcp_pp - 1,75,6.159,6,217.5531016482634,53,8.578604084930053e-05,0.02236218926111475,6.422859455354608e-05,0.0,0.10457429346228511,4.67622299461154,1649.242314783182,1230.390662859858,0.0009983407858731887,61.35450421337655,34.25057166625701,4.122561481543683,80.38374696723595,19.509871365290365,0.21349298077178677,404.5452407864406,24.287190254499542,-4.447625091776359,23.957496457066725
jcp_pp - 2,75,6.269,6,215.05142894768636,53,8.835083132951237e-05,0.02136782768452506,6.492793295130411e-05,0.0,0.09984975164209277,4.673393700973527,1554.629107236895,1136.4419791502723,0.0016245952844175318,54.947546019875446,34.166176293371954,4.121261240216694,78.69647675469199,19.188321553612163,0.347626454856373,448.8766342559832,26.440188819711643,-4.639833688362541,23.828155241974702
jcp_pp - 3,75,6.128,6,208.61007474671857,53,7.642986774192601e-05,0.02013557263331851,6.00312331074755e-05,0.0,0.09425257945333082,4.681433844642868,1631.2716260921745,1265.678681324174,0.0014025506402945173,85.36402395959672,49.63057824536178,4.129077923011253,75.94616695483484,21.121387999330608,0.2995985176420908,471.9345763037091,33.23282667409393,-4.482441706041748,25.603829705372355
jcp_pp - 4,75,6.245,6,223.2177092582924,53,9.219787404882519e-05,0.021217201256697744,6.922326360076552e-05,0.0,0.09920897481363367,4.675772314418415,1456.9380291842842,1083.1697855638117,0.0012776925272828658,56.67364578132065,30.49037721782903,4.123531450585341,78.98778426057626,19.74974480740066,0.2732580719003185,389.0724270274671,23.773176866497987,-4.8640947319358965,24.613839539336556
jcp_pp - 5,75,6.147,6,207.92912472321026,53,8.202899928754284e-05,0.019526783497574324,6.22359016077031e-05,0.0,0.09127480796322611,4.674747670475359,1506.4272272262497,1134.7247624015847,0.0014714403455086688,60.61355263778743,38.8523224728603,4.122523995641941,75.05124417685059,19.500601097997894,0.3147635870919731,411.492563053076,25.497004124879997,-4.746903034585012,24.247504132582904
jcp_pp - 6,75,6.342,6,225.66270648031622,53,8.590443190493865e-05,0.020584143115499238,6.233617375630059e-05,0.0,0.09626163711054578,4.676459585901903,1582.9190236293239,1147.59423313666,0.0012278840507682334,69.99269316364658,48.78890484520205,4.124818160888029,79.14686860995081,20.067948395400713,0.2625670185346899,377.1838054379263,24.372961342622656,-4.579988602311542,24.647936997712254
jcp_pp - 7,75,6.149,6,176.89516235097517,53,6.777849720117879e-05,0.016129375077431108,5.159087785921152e-05,0.0,0.07543932076833988,4.677224836844881,1505.684403598306,1136.6230608363135,0.001445581420212978,74.78323223696945,42.868767528764856,4.126056406956647,63.00781741694452,20.374166773413194,0.30906819121146306,369.74965299657276,25.314141083491165,-4.748605912073577,25.122772685486773
jcp_pp - 8,75,6.284,6,232.17724250157653,50,8.671888447037951e-05,0.02069040463222995,6.425304642091529e-05,0.0,0.09667077919952315,4.672081096176626,1529.2514581410799,1122.3593728814446,0.0009570560792555586,67.56670096503227,36.16089216938105,4.122014736178294,81.241564135108,19.374661181128737,0.20484577633696482,437.39157543835887,28.253122072777064,-4.695374894273545,24.07003607540228
jcp_pp - 9,75,6.143,6,218.17387361293953,53,8.115806638692719e-05,0.01917093079738501,6.155530983541601e-05,0.0,0.08959830749763496,4.673508286612142,1474.5008525244007,1119.0603963248814,0.001104100240778131,49.095325609835214,36.34478141267885,4.124243795413377,75.55901714907601,19.925907755424355,0.2362465567764085,471.8677984828814,27.225476061942114,-4.821617839358673,24.747525594783028
jcp_pp - 10,75,6.278,6,219.09725479443927,53,8.122996196260693e-05,0.019095311309382867,6.148843031299848e-05,0.0,0.08924156006608229,4.673360636320286,1475.79783766298,1115.1935378044157,0.0011781879366309653,64.54383805774779,33.0420284133938,4.1236646434316375,75.97901439026349,19.782683411761592,0.25210721541033215,412.4134775213767,26.513643275186954,-4.818520512081808,24.6012039238434
