sample,spotsize,fluence,rep_rate,sig_bg,N,9.979,10B,10.035,10.433,11B,11/10B,11/10.035,11/9.979,11/10B2se,11/10.0352se,11/9.9792se,11/10Bc,[B],d11B,r2se,B/Ca,B/Ca_2sd,Dd11B,cald11B
jct_pp - 1,75,6.306,6,85.77643176805917,53,8.025940037728324e-05,0.009619233667986163,6.201254132776746e-05,0.0,0.04448886548776224,4.624625487784429,759.3977736510948,584.5633471885039,0.0022850354147104087,49.0227194635951,36.06515028036522,4.077141591494317,33.87038169876201,8.2775279620535,0.49410172147910003,0.0,0.0,-8.105871510275502,16.383399472329003
jct_pp - 2,75,6.289,6,86.57076621465062,53,7.99098461859178e-05,0.009084879970698493,5.737213705598483e-05,0.0,0.041982019402660865,4.621359695826935,784.5935784209761,544.6370148603493,0.00231335479164486,52.133688130971414,25.558995119433984,4.074758583765374,32.81238737498601,7.688209909654908,0.5005788217986599,0.0,0.0,-7.890123497284054,15.578333406938963
jct_pp - 3,75,6.27,6,77.76941280295533,50,8.097653596719373e-05,0.007847411509588351,5.9887854773374014e-05,0.0,0.036210991105424084,4.614134674901709,626.3368964301384,459.0369120244347,0.00206686137347865,38.35878252774696,28.582446910625602,4.069003300289249,28.539654560252824,6.264927723886871,0.4479412759062302,0.0,0.0,-9.528460936900688,15.793388660787558
jct_pp - 4,75,6.237,6,81.23447661705055,53,7.506150817744672e-05,0.007995933064388023,5.5277997827401875e-05,0.0,0.036920003441604454,4.6165255732896195,673.1051262848956,492.8491140199115,0.0025152767586622735,29.48697735458846,16.973347515318206,4.070964213283792,29.368823255370632,6.749861705775295,0.544841942004006,0.0,0.0,-8.965271098520466,15.715132804295761
jct_pp - 5,75,6.223,6,90.2790465322701,53,8.145995189897495e-05,0.008860649175293275,5.868999427992592e-05,0.0,0.04093984400740642,4.620634300089969,731.2736368140564,521.3936799065839,0.002150297274121545,35.403503227286855,21.2107078499611,4.075113543772686,33.45096708007479,7.775991555365902,0.46536841794202943,0.0,0.0,-8.363995348452608,16.13998690381851
jct_pp - 6,75,6.365,6,92.12926887240698,53,8.100101981442615e-05,0.008756402250619182,5.975918218785782e-05,0.0,0.04044556725348395,4.618904267439364,690.0735989152938,504.7509515101225,0.0022607902163635195,26.972111162150018,13.364461548298001,4.073277322828307,33.25660400222843,7.321893930095191,0.489464618762679,0.0,0.0,-8.779549835482506,16.1014437655777
jct_pp - 7,75,6.357,6,108.02333428704056,53,7.219171905251667e-05,0.010062866809727093,5.649736009417194e-05,0.0,0.0465423257508673,4.625328938893589,844.0386341553074,654.5453407863071,0.0020358873665466785,40.75665828387603,20.213221320001765,4.080056316108797,38.48119629532322,8.998339654026521,0.4401605579718352,0.0,0.0,-7.431465661987396,16.42980531601392
jct_pp - 8,75,6.331,6,98.85887411116693,53,7.774905551274508e-05,0.00924192978722665,5.813813754666762e-05,0.0,0.04271634954649254,4.621623166443965,752.5454726329924,562.9469512434266,0.001903631864504573,28.849007016484936,23.49785587593715,4.077187877999695,35.90462861781708,8.288974619515166,0.41189681545786705,0.0,0.0,-8.16700944277346,16.45598406228863
jct_pp - 9,75,6.159,6,94.6707967919116,53,8.10185591209607e-05,0.008532650838774506,6.152204688092538e-05,0.0,0.03937997451807007,4.6148310742827015,643.5779965556658,487.08067047445553,0.002207302524040511,28.22108992572939,17.949134439983116,4.071505032036728,33.09470299029606,6.883606238077933,0.47830624534476585,0.0,0.0,-9.311451628757942,16.195057866835874
jct_pp - 10,75,6.237,6,72.94900107982933,53,7.256586865012997e-05,0.006482438093081775,5.346759318387253e-05,0.0,0.029858931603779695,4.605732290780658,579.0353005738411,420.49007215235025,0.002995392120198636,34.09508605656403,19.932083586410457,4.0646240217177265,25.32226099863127,5.181931690203978,0.6503617516360087,0.0,0.0,-10.189196894170196,15.371128584374175
