sample,spotsize,fluence,rep_rate,sig_bg,N,9.979,10B,10.035,10.433,11B,11/10B,11/10.035,11/9.979,11/10B2se,11/10.0352se,11/9.9792se,11/10Bc,[B],d11B,r2se,B/Ca,B/Ca_2sd,Dd11B,cald11B
kcsp - 1,75,6.198,6,10.653935755729881,53,7.107830535957614e-05,0.0011751462518229758,5.143644233384153e-05,0.0,0.005179607246210221,4.408237951765767,102.97511330631527,75.92030070070848,0.011371961132239225,5.028137130627088,4.9390766576497995,3.8874319971116416,4.082302004224329,-38.637673917099605,2.5797067346793434,28.714844573799905,1.9485031612893404,-49.351992515407225,10.71431859830762
kcsp - 2,75,6.16,6,10.79997619058392,53,6.901747901890095e-05,0.0010755136331985283,5.2719104497317417e-05,0.0,0.004729983403195866,4.396151595009041,90.89732867778774,68.885046342237,0.009577536224335957,4.44435326579812,2.8600115678187947,3.8775756753627477,3.889019407701082,-41.07514328252604,2.178618279499131,21.95012364963894,1.4905051773563092,-55.55784093075262,14.482697648226576
kcsp - 3,75,6.291,6,10.978659336975337,53,6.738228283744345e-05,0.0010819541907083636,5.261428512214656e-05,0.0,0.004757416722785109,4.395455751692749,92.3152841632457,71.50913496895198,0.009597323434351043,4.610105495101741,3.2766927911150834,3.877282510886806,3.9334322858744466,-41.14764288707873,2.1834649184342227,20.96867774524626,1.4397112863098067,-54.746363218626946,13.598720331548215
kcsp - 4,75,6.258,6,11.570503788728828,53,6.696516019953146e-05,0.001128589773545656,5.194989957344798e-05,0.0,0.0049822035048867385,4.410835128140594,96.64224076321882,74.89553172183868,0.011688155308882937,5.2918744330421745,3.8050147089915916,3.891058303874631,4.161195588358328,-37.740887887826815,2.6498735430653304,24.02470877529001,1.7355591413712526,-52.41528513231096,14.674397244484148
kcsp - 5,75,6.334,6,10.507559714902976,53,6.60635691488089e-05,0.001013580399787292,4.7726427866057434e-05,0.0,0.004455106711025937,4.394248309021034,94.7592967398295,67.90287341328876,0.012193254956658925,4.546435603261841,2.5843474811626947,3.876598176273756,3.744677473856497,-41.31687890610347,2.774821562001211,24.577638526980042,1.6527977396935023,-53.40389830323078,12.087019397127314
kcsp - 6,75,6.083,6,10.863267035554403,53,6.63953119825236e-05,0.0010306668879842885,5.079627863238949e-05,0.0,0.004531229646231825,4.393578590587375,91.57057009820208,69.4825474625135,0.011333575668290312,4.708668265327845,3.220797486182639,3.877213461629803,3.821224620287269,-41.16471877531958,2.5795773159881343,28.45541258969173,1.9846448400423276,-55.16946460956481,14.004745834245234
kcsp - 7,75,6.272,6,10.966227645027288,53,6.69840916612299e-05,0.0010328870246668436,5.1866282365364435e-05,0.0,0.004535669601192342,4.389046529319123,90.05314004140266,68.3435215721792,0.009326084149891363,5.377730518850804,2.6402323284807356,3.8733957662318943,3.8465344630888123,-42.10883523336606,2.1248542451287538,29.478229794976492,2.2423789226805906,-56.05292091297599,13.944085679609934
kcsp - 8,75,6.218,6,11.036741969966583,53,6.329414861661532e-05,0.0010273669646878732,4.75514041123288e-05,0.0,0.004503516568031162,4.38120784393516,99.49089223621756,72.24949250530399,0.009701225939230129,7.2516168321301695,3.3244024852670027,3.8658758198866696,3.8342309331644913,-43.96851872515073,2.214281149126351,28.636392924519736,2.4854152242641603,-50.98978616408028,7.021267438929549
kcsp - 9,75,6.249,6,10.724268334208574,53,6.34815450757233e-05,0.0010098686829133625,4.722122903981474e-05,0.0,0.00444743173171423,4.4079087150351155,100.21167541965576,73.4517663886245,0.011107374688297344,8.603483821669432,3.731675428004887,3.891144943344752,3.8079550553746575,-37.71946193810272,2.5198740278832785,28.184850082017316,2.760258233288348,-50.641765180909175,12.922303242806457
kcsp - 10,75,6.108,6,11.148746683489245,53,6.643635553676146e-05,0.0010244899230623715,4.85396015709047e-05,0.0,0.004500087159252035,4.392150397471431,94.3513748800729,68.13274997703762,0.00931101090414723,4.844338254913405,2.574206206700775,3.8770420186680528,3.8589953817149634,-41.207116637101194,2.1199207817445407,27.469954171744945,1.914342072594681,-53.623197535122834,12.41608089802164
kcsp - 11,75,6.014,6,11.194087091350807,53,6.577233204198491e-05,0.0010026583844704852,4.915930518324299e-05,0.0,0.004403253194324608,4.389664357293435,91.00551214633332,67.47084284547509,0.010940337672818087,4.5388222745740245,2.832516120936799,3.8761958628495363,3.8293108341931634,-41.41637105660534,2.4922948048728824,30.201083808414428,2.0721915025151016,-55.49505057997505,14.078679523369708
kcsp - 12,75,6.329,6,11.596293792249012,53,6.189177456621831e-05,0.0010326377825875504,4.7806854069900695e-05,0.0,0.004551441715709224,4.406195423718599,97.7057144957128,74.29011530045264,0.011412034365734111,5.901886262084824,3.6763497220466115,3.8908390820478322,3.948327187004143,-37.795101467767545,2.589997326106555,34.725989767315625,2.660351705413741,-51.87352534636812,14.078423878600574
kcsp - 13,75,6.216,6,10.99523774428568,53,6.263657892657993e-05,0.0009695291022306817,4.746381896857718e-05,0.0,0.00425691947838853,4.391431601806445,92.00048629046049,68.58879705812286,0.011031442351716124,4.733151280545661,2.339549635766103,3.877802062630359,3.6928322846357444,-41.01915768834763,2.512037839136163,28.32266793484248,1.9759258511057873,-54.92438839650878,13.905230708161149
kcsp - 14,75,6.218,6,11.475519309328881,53,6.261921432323283e-05,0.0010037990472139683,4.556163003117601e-05,0.0,0.004413652357690922,4.394752132243336,99.69170887345832,70.92630726364553,0.010363658991984222,6.020451296333728,2.590802155261439,3.880101350354165,3.863969544622691,-40.45054360168721,2.3581896498663304,28.286615955759707,2.166719620435156,-50.89232587035992,10.44178226867271
kcsp - 15,75,6.206,6,11.39020979383077,53,6.16357964025872e-05,0.000991683224219536,4.9801760511488454e-05,0.0,0.004348190646432748,4.383079711354579,90.16294975356352,71.43079426667668,0.01244753021671254,5.543863321126218,2.4551896879384976,3.8705352462225315,3.8317369478969465,-42.81624212101087,2.8399050522550646,26.1365391560371,2.024697025756811,-55.988005223460156,13.171763102449283
