sample,spotsize,fluence,rep_rate,sig_bg,N,9.979,10B,10.035,10.433,11B,11/10B,11/10.035,11/9.979,11/10B2se,11/10.0352se,11/9.9792se,11/10Bc,[B],d11B,r2se,B/Ca,B/Ca_2sd,Dd11B,cald11B
macs3_pp - 1,75,6.316,6,19.729015119979277,53,6.813715904366507e-05,0.002168355445935783,5.2859629227361773e-05,0.0,0.009672062404221938,4.460416004733791,188.83799949596104,144.6893639753668,0.005958969618593503,10.98926951561668,5.885250196707234,3.9323719631574967,7.363560339279865,-27.524015768473408,1.3359672309195632,46.85547628286089,3.508500581435816,-27.911412348755107,0.387396580281699
macs3_np - 1,75,6.266,6,22.167227593254527,53,7.422676120432776e-05,0.0024313087961166727,5.433340268688451e-05,0.0,0.010869892221373023,4.469596240044623,201.56340202681835,147.36842296324605,0.004800580561605967,8.232584303184927,5.580347130082265,3.940399189365675,8.355424999348424,-25.538881915271205,1.074052398423809,49.63073747917172,3.0948803537704173,-26.271078645076948,0.732196729805743
macs3_np - 2,75,6.226,6,22.63143700852261,53,7.598323706536207e-05,0.0024521345523349967,5.685348392793543e-05,0.0,0.010966586231676062,4.471845297363909,195.1142468880656,145.84791110522377,0.004645625568893304,7.330020060551279,5.066618657297392,3.942381959880459,8.429751361976443,-25.04854256641631,1.0388609757211045,47.814375646560514,2.8814563720573187,-27.076028515231606,2.027485948815297
macs3_pp - 2,75,6.233,6,20.635135453242142,52,7.033711387244672e-05,0.0021984388422112504,5.340979574293744e-05,0.0,0.009800754549032006,4.45809133665645,188.16578434799342,142.24225852035403,0.007056210216903962,8.930449520064643,5.912449312395313,3.930801135790059,7.660092568334433,-27.91248153532333,1.5827872701675265,49.108546212788085,3.2843436720998778,-28.004142298348746,0.09166076302541626
macs3_pp - 3,75,6.268,6,21.33519769496892,53,6.532492394319695e-05,0.002224385598558775,4.972407798499465e-05,0.0,0.009942988863700214,4.469665701185411,206.00686699790867,154.55379520466525,0.005877094500569348,11.288004156627139,7.119302003749605,3.942296010681576,8.011790198766324,-25.069797811993478,1.3148845782830403,61.09104637573446,4.414964287480922,-25.745387400022015,0.6755895880285365
macs3_np - 3,75,6.189,6,24.278338482640173,53,7.785149062260409e-05,0.002528506545313482,5.6455675287575004e-05,0.0,0.011314490603581384,4.473338565094163,203.02393767751568,145.72058503202675,0.0050522636147523284,10.079518842315577,5.83170098104006,3.9455355184441827,9.116909026494925,-24.268667214638384,1.1294167747944603,59.906464361283064,4.1004884365303536,-26.09578504754711,1.8271178329087263
macs3_np - 4,75,6.264,6,23.36460145172408,53,7.467436880402753e-05,0.0024186461798804963,5.490377585747004e-05,0.0,0.010806294916692981,4.466920769879996,200.47175766112835,145.21311305944582,0.004641287534372673,9.554073669228233,4.891512063150102,3.939874950034454,8.70741875359195,-25.668526354906795,1.0390351146741654,58.28216004704765,3.9060416631884105,-26.40374203982691,0.7352156849201137
macs3_pp - 4,75,6.305,6,19.20777669020067,53,6.773732598986186e-05,0.0019436939965980803,4.855918443886005e-05,0.0,0.00864942319936397,4.450644771151543,186.43339913366782,131.1268854184628,0.006721540601044441,12.199563661795212,6.333132274600008,3.9246864989173753,6.8803726306473925,-29.4246318524074,1.510239739781644,51.52050468862989,4.154444190966088,-28.2461575549441,-1.1784742974632998
macs3_np - 5,75,6.366,6,28.628816227599213,53,7.285973752688128e-05,0.0028632568820450054,5.6837540316549035e-05,0.0,0.01284958398321834,4.482852533507044,227.37488851115762,178.54676216044808,0.006451183268410786,25.588643205214446,21.606610181986124,3.95339682243525,10.23052772605737,-22.324565942510088,1.439079965310362,60.55020616046969,7.387487452337907,-23.500594043995807,1.17602810148572
macs3_np - 6,75,6.277,6,24.309899694713707,53,7.252025110981647e-05,0.0024193849266040926,5.404118788343808e-05,0.0,0.01082498547806956,4.473224048130513,204.1478412148797,149.8830346830581,0.00466807523118446,10.984129702138311,5.844960641270835,3.945106822782188,8.844836653595552,-24.374683695210454,1.0435594508473998,53.883176897880745,3.8537918007863845,-25.962577623704263,1.5878939284938092
macs3_pp - 5,75,6.235,6,21.31402326576951,54,6.592404636892818e-05,0.0021249580709939925,5.0163433654189104e-05,0.0,0.009467016600051626,4.453816901041252,195.65849362711165,144.97369752846737,0.007178755000164326,11.433715303096706,5.88927192767358,3.9279909198967564,7.735272771863953,-28.607448209978404,1.6118208627943404,52.081775420058,3.909683081269913,-27.006077749185923,-1.6013704607924808
macs3_pp - 6,75,6.158,6,21.521970290728135,53,6.564892599487752e-05,0.0021109182900463912,4.86159392367124e-05,0.0,0.009417812072689238,4.459450309944199,195.58620341596676,143.9065134611555,0.006300303707478373,10.939201933502881,7.444116467765279,3.933407589256014,7.743378952243934,-27.267905329560914,1.4127982754801025,49.91082975202955,3.650163036114875,-27.015346939699267,-0.25255838986164747
macs3_pp - 7,75,6.219,6,20.53782604811423,53,6.717687615842495e-05,0.0019851640617442605,4.781547842894016e-05,0.0,0.008845939135385256,4.456452440441706,195.70368346733073,133.21472187533573,0.004852522829288992,12.529023120850086,4.557936208949807,3.9310883976636792,7.313822736477636,-27.841441644921638,1.0888757131688427,45.82807469981788,3.642954985487512,-27.000286849500586,-0.8411547954210512
macs3_np - 7,75,6.161,6,25.016643602309237,53,7.081474195354819e-05,0.0023915044079289073,5.2914629743265986e-05,0.0,0.010678728029580031,4.463474040651504,205.60457262933,152.27261715942814,0.006354390035834332,10.620940795258777,8.025550009836735,3.937668995698998,8.975855101930804,-26.214059085187923,1.4236422073840096,53.918481460203566,3.769974778674259,-25.79205922410815,-0.4219998610797724
macs3_pp - 8,75,6.184,6,20.508532102959514,53,6.631856208937302e-05,0.0019584485564853034,4.8099369590949155e-05,0.0,0.008713486571524971,4.449997833953534,188.58090934320663,134.09194590972766,0.0069864218663742515,12.618536301651599,5.844560668893259,3.9257803097089075,7.323998952120874,-29.154132333027217,1.569983206074343,50.290139607103136,4.1157184157075015,-27.946800160273277,-1.2073321727539401
macs3_np - 8,75,6.127,6,24.751591949232218,51,7.120138477559279e-05,0.002383582289889564,5.5273713869738195e-05,0.0,0.010643121320319818,4.463188359836883,193.686244053602,151.33392681964645,0.005905988431991307,7.006471874381302,6.347054831121809,3.937416968583761,8.945926381760108,-26.276385416277414,1.3232666775029756,52.53978004102432,3.1211091199719636,-27.261408608298122,0.9850231920207086
macs3_pp - 9,75,6.225,6,19.935417762313172,53,6.26198943875706e-05,0.0018716881155342966,4.765955724693981e-05,0.0,0.008329391702758395,4.450951888498016,190.9198831906027,139.4714137195245,0.006906164274123068,21.386002700955938,9.124658543063626,3.9278438346641673,7.024247087777921,-28.64382240287466,1.5516151257374224,58.901496608753966,7.157883173489887,-27.628307563639886,-1.0155148392347755
macs3_pp - 10,75,6.215,6,21.093529186756502,53,5.963779637020157e-05,0.0019419063612141027,4.816751709857576e-05,0.0,0.00865484393308948,4.457173916006237,187.99696213023472,151.24647894517778,0.00683583106214423,13.840520149570334,8.907921470227565,3.9335191505240283,7.339854616511791,-27.240316216697092,1.533669358872436,57.562541084281314,5.031500269257857,-28.027533491079687,0.7872172743825949
macs3_np - 9,75,6.211,6,24.29876312284811,53,7.039307820672585e-05,0.002249749406740965,5.402691798892334e-05,0.0,0.010036216009064689,4.45972918185884,191.08290856441786,144.40499574250427,0.005729907910145347,10.040579647723376,5.7266125520731395,3.935161220725279,8.544693750443917,-26.83423208983937,1.28481073098638,56.264384267668966,3.9710784657325346,-27.606395336638183,0.7721632467988115
macs3_pp - 11,75,6.238,6,20.162068595682154,51,6.267094474638733e-05,0.001855341914357954,4.624317006585211e-05,0.0,0.008267215561397584,4.456365485481993,185.09151848809125,135.55828369443145,0.007835025700507599,10.71777762365982,7.384403394755117,3.9326806696149896,7.081062058849906,-27.447672630311114,1.7581649723373565,50.51158034191786,3.7709376960482346,-28.43668814926089,0.989015518949774
macs3_np - 10,75,6.077,6,24.92414283978873,53,6.88984608574865e-05,0.00227730033143853,5.141576990966518e-05,0.0,0.010181115227417372,4.469791726673366,203.61090451889035,148.7279055459989,0.004930585798266514,12.829876682124219,6.427953833841881,3.944529141059021,8.720361555621121,-24.517544443779627,1.1030907254231492,56.403053591469444,4.437889183157321,-26.02603564451896,1.508491200739332
macs3_np - 11,75,6.23,6,25.70043543784364,53,6.962371823179182e-05,0.002304738864506101,5.153456513595935e-05,0.0,0.010298482202216536,4.467509607758311,202.05806883032295,148.8971101444661,0.004127177034972836,9.078564664192466,5.790270364852821,3.9437584903421397,8.817708675541784,-24.708126444012546,0.9238205168726552,57.48930430338079,3.7430267096319048,-26.2114289349327,1.5033024909201558
macs3_pp - 12,75,6.234,6,21.588901151349802,53,6.462212336469967e-05,0.0019395053636303357,4.8729083004037394e-05,0.0,0.008633138611150764,4.4502606054849165,185.01095547667506,136.3761821468284,0.006144347470839431,12.045668976127075,6.354764165762368,3.9283371014392454,7.403243726433356,-28.521837479506097,1.380671384337934,53.884963859600525,4.330745113267686,-28.44821380397223,-0.07362367553386662
macs3_pp - 13,75,6.275,6,22.507850074223928,53,6.100607923067534e-05,0.0019942044042800737,4.74313469471097e-05,0.0,0.00889714935262884,4.457806047384223,189.31556652061025,146.57610216565269,0.008813458824649279,10.18480362425997,7.2254094908763555,3.9348793650287726,7.706199430089581,-26.903935032093873,1.977084406761234,58.314525713376185,4.170431053173677,-27.84592793038757,0.941992898293698
