sample,spotsize,fluence,rep_rate,sig_bg,N,9.979,10B,10.035,10.433,11B,11/10B,11/10.035,11/9.979,11/10B2se,11/10.0352se,11/9.9792se,11/10Bc,[B],d11B,r2se,B/Ca,B/Ca_2sd,Dd11B,cald11B
nist612 - 1,75,6.26,6,85.92164722885731,53,2.593070089014633e-05,0.009683358935052564,2.34802055325781e-05,0.0,0.04438118777245571,4.583295053135382,2046.581046388832,1972.304013215561,0.0015805670010946183,173.81671254910287,238.50538862392528,4.040704038973087,0.0,-0.7334824619498193,0.3448538622913595,0.0,0.0,-3.8321194090642763,3.098636947114457
nist612 - 2,75,6.228,6,85.39582513533117,53,2.5122028572856332e-05,0.009638304166538816,2.434327422662606e-05,0.0,0.0441686090385249,4.5827363608405625,1832.8539104938677,2226.3020715110624,0.0015479241211355836,358.01897676035895,490.1536754603161,4.040211487176607,0.0,-0.8552905710388359,0.33777289358440515,0.0,0.0,-4.130501975183907,3.275211404145071
nist612 - 3,75,6.128,6,91.42057330233959,53,3.244241378553762e-05,0.009993569219272271,2.6629878445326258e-05,0.0,0.045831442869430736,4.585716208287833,1847.7806069982073,1522.08592951612,0.001741001053610796,148.47572622495974,129.63998107303715,4.042770635053606,0.0,-0.22241304221004565,0.37965739145921396,458.0400783788691,42.66668880080682,-4.107453725242773,3.8850406830327273
nist612 - 4,75,6.171,6,86.71758944307285,53,2.3405779636151835e-05,0.009602747025585966,1.9843834927362775e-05,0.0,0.04405777594794939,4.588026769820594,3078.243546357397,2102.298050376503,0.0016775137992244187,729.1164958924737,200.74087748066728,4.0448076277262555,33.86615387477035,0.2813354517692268,0.3656285988257245,762.3221953625765,184.10288945817527,-2.968507777649238,3.249843229418465
nist612 - 5,75,6.199,6,89.72513185106881,53,3.208990332306805e-05,0.009457770619846848,2.8169905044187818e-05,0.0,0.043330148772905586,4.581291384793098,1763.4439780008545,1443.3242638895872,0.001501678456686901,214.62429596635616,110.6916595218924,4.039429437135749,0.0,-1.0486916252440137,0.3277849694676691,430.1019864093867,56.132908117711416,-4.242728366256521,3.194036741012507
nist612 - 6,75,6.242,6,88.04360961788743,53,2.2265991788927512e-05,0.009486267282872244,1.786206975887889e-05,0.0,0.04349569740655879,4.585048159015056,1242.3599059906123,1531.6250428835642,0.0015730831040864175,4734.812813567487,4331.237067461035,4.042741870924881,0.0,-0.22952641415319164,0.3430897668966561,302.72370678582615,1153.8118933080593,-5.478506002352651,5.248979588199459
nist612 - 7,75,6.209,6,94.75275435280963,53,3.0722861355375224e-05,0.009915729820837616,2.7464682392867876e-05,0.0,0.04546602339549433,4.584650927815212,1868.6496684730814,1568.4121843823607,0.0017816200533070036,232.31796761440683,124.8317049688217,4.043002874932699,0.0,-0.1649800966202486,0.3886053881436997,512.3091959263926,68.11359582855816,-4.075838492632224,3.9108583960119754
nist612 - 8,75,6.292,6,87.82548854300516,53,2.704414495838494e-05,0.009434133786915721,2.2999259283264734e-05,0.0,0.043249550079133926,4.584240487933643,2076.0860652619854,1859.1181145375567,0.001928320000472997,202.78171869880734,219.0549277505564,4.042640925975778,0.0,-0.25449011027645074,0.42064110849956554,574.0093249163825,62.24955973325184,-3.795688253377488,3.5411981431010373
nist612 - 9,75,6.218,6,90.70290274063228,53,2.974284966943891e-05,0.009324499939610263,2.5131223871223558e-05,0.0,0.04271169865216111,4.580625094771806,-2674.424323174179,1609.551231039839,0.001795474294371831,9122.011828553128,187.80184128218946,4.040163458479133,0.0,-0.8671680727821984,0.39197145743735584,-805.1934682555575,2746.6416411910463,,
nist612 - 10,75,6.145,6,88.78692454048067,53,2.4095922271931865e-05,0.009306330421276723,2.1640125282587618e-05,0.0,0.04265149848956294,4.582942389725207,1475.8921725973132,2360.767664980587,0.0015678480997559916,1880.0239625830452,544.2847185357635,4.042207338997521,0.0,-0.3617162138549457,0.3421051295061118,443.2226521446428,564.9729255525115,-4.8182954403949125,4.456579226539967
nist612 - 11,75,6.042,6,92.12361884974081,53,2.9881363885416893e-05,0.00923536760745018,2.863748516005628e-05,0.0,0.0423141437386042,4.581756464923169,1602.9050362988332,1544.5180129372009,0.0017793456640697392,133.5801338961496,154.6661751629409,4.040303970284912,0.0,-0.832419489000813,0.38835448319699745,462.59798708645764,44.287007404777945,-4.538965282957106,3.706545793956293
nist612 - 12,75,6.279,6,89.39050347216426,53,2.5400674701835584e-05,0.009291854519211705,2.0745035740587602e-05,0.0,0.04259397654754561,4.583909705701787,2640.99653205031,1368.1005769229068,0.001967147688266984,433.9455095080921,900.4817711015264,4.042202750225189,0.0,-0.36285101771671435,0.42914189296096045,760.3381562086877,129.96785782639773,-3.2532725851945656,2.8904215674778513
