sample,spotsize,fluence,rep_rate,sig_bg,N,9.979,10B,10.035,10.433,11B,11/10B,11/10.035,11/9.979,11/10B2se,11/10.0352se,11/9.9792se,11/10Bc,[B],d11B,r2se,B/Ca,B/Ca_2sd,Dd11B,cald11B
uwc1 - 1,75,6.194,6,41.32381773348556,53,6.545881430883536e-05,0.004511952478355302,4.635004950687036e-05,0.0,0.020594117025125074,4.561950520568577,458.765581340655,322.46066988282877,0.004639737478359253,46.945607441047,37.69761224072358,4.021886367853773,15.678768085956978,-5.387094433083606,1.0170512497757167,114.93782172752891,12.948661955623104,-12.472462418350341,7.0853679852667355
uwc1 - 2,75,6.052,6,35.42194601951579,53,6.317985692172765e-05,0.0036794893633986707,4.775033550453004e-05,0.0,0.016752318925521405,4.548295638903293,368.3028254877997,272.9138812973496,0.005725919677675785,56.226120620741185,39.48678595871373,4.010942737769772,13.203322544406985,-8.093455259758354,1.2589154558687494,108.26062257133573,17.296730188100696,-15.155241934667258,7.0617866749089035
uwc1 - 3,75,6.217,6,34.6086041693719,53,5.815500252043336e-05,0.003197787937302169,4.7776045180109855e-05,0.0,0.014513331153447063,4.538685210902593,315.2375666573416,253.99214966591023,0.004028499717774389,18.06077368163801,10.333664437748784,4.004324183825706,12.196919622249686,-9.730224319564496,0.8875917871760167,91.26637691878177,6.77020213091997,-17.433422529676672,7.703198210112177
uwc1 - 4,75,6.166,6,39.14125253456775,53,6.0750408137685804e-05,0.003582249907983985,4.4425528696222546e-05,0.0,0.0162871543612391,4.546610279558179,375.7442992164218,273.6628507411825,0.004034416092994106,21.151415884034343,16.25861972297098,4.011316196402346,13.687630394351238,-8.001098902149284,0.8873459225509328,110.81783299906486,8.13521287626939,-14.88652837961437,6.885429477465086
uwc1 - 5,75,6.303,6,54.42859200056938,53,6.360487983797819e-05,0.004858805699989022,4.67371732158677e-05,0.0,0.022159368233065288,4.560184329785914,484.1833280094982,353.6898446294435,0.0037544756141364073,43.77755295335729,31.391803527393716,4.024299358312296,18.980013340394418,-4.790361648626895,0.8233166342889188,129.25496706558297,13.178461402801824,-11.896782898649082,7.106421250022187
uwc1 - 6,75,6.05,6,52.7430959356824,53,6.240662155604727e-05,0.004674355249239654,4.5862009354970204e-05,0.0,0.02132814937265676,4.557042260160768,458.58716431971226,339.7229713141482,0.0059212604200931185,79.13190599802653,69.46863104877642,4.023995211915672,18.548130180493043,-4.865577083275285,1.2993648252637058,144.36800020324227,25.823662875604022,-12.476725619932726,7.61114853665744
uwc1 - 7,75,6.188,6,42.418590877520465,53,5.466733956270292e-05,0.0035986241705674065,4.2658424401879393e-05,0.0,0.016386631469954182,4.542804184727791,399.244317016726,312.04421577838036,0.007752222291756733,93.14287529955641,68.83015542637548,4.011469842867814,14.215228179881453,-7.963102115698395,1.7064839197380581,138.6027706652729,32.988700129864306,-14.1028111459392,6.139709030240804
uwc1 - 8,75,6.268,6,44.86727549084479,53,6.154548229055856e-05,0.003911544753832931,4.524108311636714e-05,0.0,0.017821718201984117,4.556430280701896,416.9533479740033,298.7251218399016,0.003554542802952753,29.25585098705699,16.928286105947844,4.022846056603752,15.6021749754077,-5.149763308145205,0.780115701102134,115.25506751828073,9.74131614999868,-13.569801970436618,8.420038662291413
uwc1 - 9,75,6.179,6,48.73109184782132,53,5.8461529416865885e-05,0.004088859043625823,4.537453806500433e-05,0.0,0.018628531104786204,4.554716018511325,431.36809396660755,326.2472100393017,0.003949478234443291,37.962820098379964,23.802250008460575,4.021332544387285,16.308506202243805,-5.524055032362862,0.8671184368886622,121.11406059829979,12.090389352873178,-13.167811542062351,7.643756509699489
uwc1 - 10,75,6.274,6,42.78227791850027,51,5.9238952497395814e-05,0.0035148468206909404,4.199290881509476e-05,0.0,0.016000572930442852,4.552588002030111,394.4979019924798,279.1989167066953,0.004061342144283189,24.04117769834529,17.228048236989075,4.020357636042944,14.269974079333746,-5.765149964526151,0.8920952527380329,82.2262627461032,6.3341790917364,-14.253683142908137,8.488533178381987
uwc1 - 11,75,6.261,6,44.17446350785953,53,5.7410232325270615e-05,0.003605359369525821,4.0817516963161724e-05,0.0,0.016408107264922804,4.550324434669934,429.2202851953442,292.104519689165,0.004144842846760937,45.87752133746952,23.77120334542944,4.018669764455955,14.714556501433314,-6.182560778709711,0.9108895214548786,95.377572142288,11.141183197335582,-13.22602073304766,7.043459954337949
uwc1 - 12,75,6.246,6,48.192715222148635,53,6.0996198212622846e-05,0.003951436117857381,4.055975240981107e-05,0.0,0.018002609025535094,4.555158522857637,461.6759820785541,300.0867547336456,0.004282549654989262,40.920983587480364,21.764313186679328,4.022939043343108,16.14448293166346,-5.126767678097388,0.9401538131987213,104.1139410276107,10.451206598672524,-12.403378277964048,7.27661059986666
uwc1 - 13,75,6.108,6,39.7078279603981,53,5.724783049199166e-05,0.003217648774587912,4.4646449826901136e-05,0.0,0.014636251141243648,4.549223841041953,342.8585456258256,260.9892849066012,0.004981212134942285,25.62484649151592,13.963566294126885,4.018853420169764,13.048646691126569,-6.137142702108633,1.0949586806441667,95.92580067082106,8.475318122705657,-16.1608492907041,10.023706588595466
uwc1 - 14,75,6.243,6,42.23565558095999,53,5.7518472135214246e-05,0.003426521036824735,4.425729754013864e-05,0.0,0.015566762240541964,4.537482807482545,359.8910751311734,275.6496236621332,0.005843233724209774,45.1905501957227,40.25174960299391,4.007035654624514,13.863898105307822,-9.059677316765713,1.2877698874305328,97.37360771340887,13.059496343200498,-15.472178448875281,6.412501132109568
uwc1 - 15,75,6.169,6,42.88012274347296,53,5.6675312830752075e-05,0.00343039417889612,4.41195568081615e-05,0.0,0.015586676389135782,4.543830517350292,372.4180972790735,281.2761762018994,0.003943906467053856,27.42319081023367,12.022150680804835,4.012616745037569,13.959423206316261,-7.679473093113565,0.8679695362743683,99.91412916229945,8.734643775570502,-15.005330002991277,7.325856909877713
