sample,spotsize,fluence,rep_rate,sig_bg,N,9.979,10B,10.035,10.433,11B,11/10B,11/10.035,11/9.979,11/10B2se,11/10.0352se,11/9.9792se,11/10Bc,[B],d11B,r2se,B/Ca,B/Ca_2sd,Dd11B,cald11B
yellow - 1,75,5.999,6,6.046161486114633,53,6.381329627390112e-05,0.0006952230735557685,4.8243801521031904e-05,0.0,0.0028958121686270114,4.1597127479290466,61.44029960450295,45.837169009697845,0.016152931881585723,3.528901182773889,2.5587484133787872,3.6677139069974887,2.2633144378034715,-92.97397982587874,3.8831844553755825,16.565732449119373,1.2306965865914778,-80.73211317051455,-12.241866655364191
yellow - 2,75,6.21,6,7.235439447125603,53,5.991918735650009e-05,0.0007657644226197436,4.5435172502031236e-05,0.0,0.0032258222271672595,4.209647761182437,73.02560307775751,54.641322159952,0.015373013521468828,4.169331027875316,2.6701682712874852,3.7126488468851333,2.6357421661798255,-81.86156464668638,3.6518526949510712,19.233961115870986,1.4238419632498769,-68.44285097947096,-13.418713667215414
yellow - 3,75,6.288,6,4.955578740671203,53,6.035581056152576e-05,0.000539063491917179,4.512880769524784e-05,0.0,0.0021958669273077712,4.073875664827772,49.81865242937257,37.262498762847216,0.020975623601478182,2.291633835661991,1.8656744948727784,3.5929062590091494,1.794190331656093,-111.47391873987,5.148812906238991,13.232943466776549,0.8713960318251507,-98.70409631954968,-12.769822420320324
yellow - 4,75,6.194,6,5.384318916593262,53,5.7439506164437e-05,0.0005766861798737475,4.2122063888785424e-05,0.0,0.002381453593159934,4.129383799128707,58.533992492039815,42.81635050093796,0.018981618964716264,3.1372265732243383,2.211352819888313,3.6415834605661432,1.9581641320800556,-99.43604187133381,4.596719483599794,16.02399415125929,1.1435492839290695,-84.56645006008567,-14.869591811248142
yellow - 5,75,6.222,6,7.119725957413515,53,6.094987614847282e-05,0.000731666493040742,4.5352098756009496e-05,0.0,0.003079066224126983,4.208418903942856,71.3450479258061,51.522043212681275,0.011907311856216369,4.940314627526298,2.272297439109226,3.7124949916849097,2.5716727097825776,-81.89961305326354,2.8294027110895357,17.379152982123163,1.4556278783779932,-69.98140337085405,-11.918209682409483
yellow - 6,75,6.17,6,6.866000874254678,53,6.010783885407331e-05,0.000701910894694754,4.5643891219180875e-05,0.0,0.002933526662096259,4.181047279190426,67.01330876737428,50.32892035235938,0.01608868784804653,3.9086440455787583,2.4699626968141337,3.688512600471338,2.4657347002086984,-87.83046082609647,3.8480042854626064,18.074586166218634,1.3552687082148709,-74.29761262210273,-13.532848203993737
yellow - 7,75,6.257,6,6.63645602049764,53,5.871827755027379e-05,0.0006607448242673035,4.449386135137777e-05,0.0,0.002755313046140189,4.169684199389408,63.833953223230154,47.78407991804493,0.014807592661601891,3.333088838106063,2.0784937939545483,3.6798054011390153,2.33667959098924,-89.98375210167609,3.5512503953585393,20.02420523708469,1.408363498043983,-77.83275383424115,-12.150998267434943
yellow - 8,75,6.258,6,6.646718920533845,53,5.877132686694115e-05,0.0006553023813254137,4.651697188515423e-05,0.0,0.0027215979440468755,4.155014106106163,61.071324414912056,47.90902318499412,0.014342688082617603,3.471262163177079,2.347963553807097,3.6662877307497044,2.317130372912887,-93.32667335620748,3.451898770100382,17.19155721696686,1.2692749255106093,-81.19896690635468,-12.127706449852795
yellow - 9,75,6.165,6,6.782842853246918,53,5.820109475305034e-05,0.0006586734630063965,4.345288061048656e-05,0.0,0.002748107462361979,4.172561243032047,68.25231137620042,48.58313124570124,0.015847177528619024,6.9808654224244755,2.3145127775100973,3.6822273659365297,2.3538178411890893,-89.38479996227933,3.7979496538446162,18.557206031676998,2.0897745264918703,-73.00791127154999,-16.376888690729345
yellow - 10,75,6.26,6,5.737445395708631,53,5.541767350322408e-05,0.0005587408883576506,4.2714965984733004e-05,0.0,0.0023078174193264063,4.129758313560115,57.19387403007866,43.17864570533489,0.020733173506193643,4.215636505117346,2.729728331337321,3.6456036678421486,1.975986488142987,-98.44184420535085,5.020432657794042,16.46388675700316,1.4403010966600818,-86.46383660945315,-11.978007595897694
yellow - 11,75,6.245,6,6.850579408469277,53,5.889463455060409e-05,0.0006542725792089268,4.068840381898005e-05,0.0,0.00273224716889321,4.1763080680973435,69.9480009507667,47.41403253148562,0.015133567305921879,4.344825905476467,1.8541539396105522,3.686513529281102,2.3430055537446894,-88.32483133363934,3.6236712089145473,20.334982783922943,1.5854268726873677,-71.31586141664889,-17.008969916990452
yellow - 12,75,6.225,6,4.186993991533161,53,5.8119651089957336e-05,0.00040994807014965186,4.298023128773113e-05,0.0,0.0016492362247686324,4.002302302712158,41.063228217842116,29.640342251654857,0.04177997690988427,4.234070364334148,2.626844733813396,3.532808869688319,1.42847363258434,-126.33600919750643,10.438985801140532,11.889488090096778,1.347882659628676,-118.84722013443148,-7.488789063074947
yellow - 13,75,6.267,6,5.878090519996188,53,5.542773272225009e-05,0.0005437847863420363,4.373761622151421e-05,0.0,0.0022270761841900297,4.095200920896334,53.26846818325332,41.32879487565941,0.017439842391687305,3.4321732670645604,2.1114249790313506,3.6163201558097233,1.9625565653942096,-105.68365969287218,4.2586048227079845,15.483407771374884,1.235937407488954,-92.56270260294382,-13.120957089928368
